window_ts,mode,ticker,close_time,btc_t0,btc_t5,btc_t10,n_yes_bets,n_no_bets,total_bets,total_yes_stake,total_no_stake,total_wagered,settlement_ts,market_winner,yes_pnl,no_pnl,total_pnl,outcome,cumulative_pnl
2026-05-01T07:30:00+00:00,dh-target,KXBTC15M-26MAY010345-45,2026-05-01T07:45:00Z,76978.45,76981.93,76988.18,2,0,2,66.4883,0.0,66.4883,2026-05-01T07:45:24.840041+00:00,yes,49.1608,0,49.1608,net_win,49.1608
2026-05-01T07:45:00+00:00,dh-target,KXBTC15M-26MAY010400-00,2026-05-01T08:00:00Z,76997.16,77078.68,77113.98,1,0,1,167.0511,0.0,167.0511,2026-05-01T08:00:24.902455+00:00,yes,69.7974,0,69.7974,net_win,118.9583
2026-05-01T08:00:00+00:00,dh-target,KXBTC15M-26MAY010415-15,2026-05-01T08:15:00Z,77108.18,77068.24,77118.08,1,4,5,84.4592,76.3689,160.8281,2026-05-01T08:15:24.904973+00:00,yes,75.4685,-76.362,-0.8935,net_loss,118.0647
2026-05-01T08:15:00+00:00,dh-target,KXBTC15M-26MAY010430-30,2026-05-01T08:30:00Z,77188.32,77327.53,77459.2,1,0,1,68.498,0.0,68.498,2026-05-01T08:30:24.283249+00:00,yes,4.7946,0,4.7946,net_win,122.8593
2026-05-01T08:30:00+00:00,dh-target,KXBTC15M-26MAY010445-45,2026-05-01T08:45:00Z,77432.88,77402.21,77402.12,0,1,1,0.0,78.0844,78.0844,2026-05-01T08:45:24.657783+00:00,no,0,35.7661,35.7661,net_win,158.6255
2026-05-01T08:45:00+00:00,dh-target,KXBTC15M-26MAY010500-00,2026-05-01T09:00:00Z,77353.67,77351.5,77341.52,1,3,4,64.524,74.9998,139.5237,2026-05-01T09:00:24.813189+00:00,yes,55.3893,-75.0,-19.6107,net_loss,139.0148
2026-05-01T09:00:00+00:00,dh-target,KXBTC15M-26MAY010515-15,2026-05-01T09:15:00Z,77360.41,77303.84,77328.68,0,2,2,0.0,59.2361,59.2361,2026-05-01T09:15:24.693601+00:00,no,0,8.5325,8.5325,net_win,147.5473
2026-05-01T09:15:00+00:00,dh-target,KXBTC15M-26MAY010530-30,2026-05-01T09:30:00Z,77319.74,77317.24,77356.6,2,2,4,98.8169,85.3972,184.2141,2026-05-01T09:30:24.750106+00:00,yes,66.1368,-85.3991,-19.2623,net_loss,128.2849
2026-05-01T09:30:00+00:00,dh-target,KXBTC15M-26MAY010545-45,2026-05-01T09:45:00Z,77336.66,77301.98,77269.19,0,3,3,0.0,96.9254,96.9254,2026-05-01T09:45:24.147944+00:00,no,0,25.4836,25.4836,net_win,153.7685
2026-05-01T09:45:00+00:00,dh-target,KXBTC15M-26MAY010600-00,2026-05-01T10:00:00Z,77269.11,77189.4,77208.41,0,1,1,0.0,53.0323,53.0323,2026-05-01T10:00:24.355245+00:00,no,0,5.4796,5.4796,net_win,159.2481
2026-05-01T10:00:00+00:00,dh-target,KXBTC15M-26MAY010615-15,2026-05-01T10:15:00Z,77257.26,77209.96,77200.83,0,1,1,0.0,66.341,66.341,2026-05-01T10:15:13.675451+00:00,no,0,17.4012,17.4012,net_win,176.6493
2026-05-01T10:15:00+00:00,dh-target,KXBTC15M-26MAY010630-30,2026-05-01T10:30:00Z,77156.79,77257.8,77383.2,1,0,1,57.0385,0.0,57.0385,2026-05-01T10:30:13.952853+00:00,yes,4.4255,0,4.4255,net_win,181.0748
2026-05-01T10:30:00+00:00,dh-target,KXBTC15M-26MAY010645-45,2026-05-01T10:45:00Z,77337.29,77301.02,77235.34,0,1,1,0.0,71.8433,71.8433,2026-05-01T10:45:13.648583+00:00,no,0,25.9827,25.9827,net_win,207.0575
2026-05-01T11:00:00+00:00,dh-target,KXBTC15M-26MAY010715-15,2026-05-01T11:15:00Z,77271.46,77299.6,77297.8,4,1,5,98.4136,70.9391,169.3526,2026-05-01T11:15:24.016711+00:00,yes,50.3454,-70.938,-20.5926,net_loss,-20.5926
2026-05-01T11:15:00+00:00,dh-target,KXBTC15M-26MAY010730-30,2026-05-01T11:30:00Z,77309.64,77303.13,77347.99,4,1,5,91.0541,44.2267,135.2808,2026-05-01T11:30:24.143737+00:00,yes,24.3906,-44.2263,-19.8357,net_loss,-40.4283
2026-05-01T11:30:00+00:00,dh-target,KXBTC15M-26MAY010745-45,2026-05-01T11:45:00Z,77358.36,77409.15,77371.78,2,1,3,88.6079,96.1926,184.8006,2026-05-01T11:45:13.699609+00:00,yes,48.1534,-96.1926,-48.0392,net_loss,-88.4676
2026-05-01T11:45:00+00:00,dh-target,KXBTC15M-26MAY010800-00,2026-05-01T12:00:00Z,77392.73,77394.95,77436.6,2,3,5,75.9828,106.956,182.9388,2026-05-01T12:00:24.013911+00:00,yes,96.51,-106.9539,-10.4439,net_loss,-98.9115
2026-05-01T12:00:00+00:00,dh-target,KXBTC15M-26MAY010815-15,2026-05-01T12:15:00Z,77446.23,77444.07,77450.28,3,4,7,67.2231,141.3328,208.5559,2026-05-01T12:15:24.070721+00:00,yes,28.1335,-141.3327,-113.1992,net_loss,-212.1107
2026-05-01T12:15:00+00:00,dh-target,KXBTC15M-26MAY010830-30,2026-05-01T12:30:00Z,77567.59,77596.01,77636.72,1,0,1,87.977,0.0,87.977,2026-05-01T12:19:16.235833+00:00,unknown,0.0,0,0.0,net_win,-212.1107
2026-05-01T12:30:00+00:00,dh-target,KXBTC15M-26MAY010845-45,2026-05-01T12:45:00Z,77757.05,77998.78,77965.58,1,0,1,124.6543,0.0,124.6543,2026-05-01T12:45:13.851134+00:00,yes,22.0819,0,22.0819,net_win,22.0819
2026-05-01T12:45:00+00:00,dh-target,KXBTC15M-26MAY010900-00,2026-05-01T13:00:00Z,77950.55,78008.43,77989.25,2,1,3,119.4567,82.6369,202.0936,2026-05-01T13:00:34.599683+00:00,yes,48.7081,-82.6384,-33.9303,net_loss,-11.8484
2026-05-01T13:00:00+00:00,dh-target,KXBTC15M-26MAY010915-15,2026-05-01T13:15:00Z,77951.26,78120.01,78328.08,5,0,5,120.9269,0.0,120.9269,2026-05-01T13:15:34.494825+00:00,yes,9.5456,0,9.5456,net_win,-2.3028
2026-05-01T13:15:00+00:00,dh-target,KXBTC15M-26MAY010930-30,2026-05-01T13:30:00Z,78335.09,78275.13,78325.67,1,1,2,71.1095,122.3643,193.4739,2026-05-01T13:30:24.104974+00:00,no,-71.1114,58.6235,-12.4879,net_loss,-14.7907
2026-05-01T13:30:00+00:00,dh-target,KXBTC15M-26MAY010945-45,2026-05-01T13:45:00Z,78291.38,78462.58,78195.85,2,2,4,158.9338,333.1538,492.0876,2026-05-01T13:45:24.048239+00:00,no,-158.931,154.0825,-4.8485,net_loss,-19.6392
2026-05-01T13:45:00+00:00,dh-target,KXBTC15M-26MAY011000-00,2026-05-01T14:00:00Z,78204.2,78364.02,78722.69,2,0,2,177.3511,0.0,177.3511,2026-05-01T14:00:34.468401+00:00,yes,45.3437,0,45.3437,net_win,25.7045
2026-05-01T14:00:00+00:00,dh-target,KXBTC15M-26MAY011015-15,2026-05-01T14:15:00Z,78727.48,78726.8,78702.45,0,3,3,0.0,166.4004,166.4004,2026-05-01T14:09:32.382618+00:00,unknown,0,0.0,0.0,net_win,25.7045
2026-05-01T14:15:00+00:00,dh-target,KXBTC15M-26MAY011030-30,2026-05-01T14:30:00Z,78757.7,78542.0,78289.41,0,1,1,0.0,156.5308,156.5308,2026-05-01T14:30:34.493971+00:00,no,0,36.3928,36.3928,net_win,36.3928
2026-05-01T14:30:00+00:00,dh-target,KXBTC15M-26MAY011045-45,2026-05-01T14:45:00Z,78279.42,78283.92,78152.01,0,1,1,0.0,203.5291,203.5291,2026-05-01T14:45:13.809410+00:00,no,0,53.3863,53.3863,net_win,89.779
2026-05-01T14:45:00+00:00,dh-target,KXBTC15M-26MAY011100-00,2026-05-01T15:00:00Z,78205.37,78345.55,78383.0,2,0,2,192.4111,0.0,192.4111,2026-05-01T15:00:24.179269+00:00,yes,49.2119,0,49.2119,net_win,138.9909
2026-05-01T15:00:00+00:00,dh-target,KXBTC15M-26MAY011115-15,2026-05-01T15:15:00Z,78334.21,78293.82,78436.94,1,4,5,219.3499,196.2731,415.6231,2026-05-01T15:15:24.266933+00:00,yes,50.9993,-196.2721,-145.2728,net_loss,-6.2818
2026-05-01T15:15:00+00:00,dh-target,KXBTC15M-26MAY011130-30,2026-05-01T15:30:00Z,78454.83,78441.66,78546.55,2,0,2,209.0795,0.0,209.0795,2026-05-01T15:30:24.889401+00:00,yes,85.2094,0,85.2094,net_win,78.9275
2026-05-01T15:30:00+00:00,dh-target,KXBTC15M-26MAY011145-45,2026-05-01T15:45:00Z,78531.35,78556.96,78645.81,2,0,2,149.3377,0.0,149.3377,2026-05-01T15:45:26.321257+00:00,yes,73.1271,0,73.1271,net_win,152.0547
2026-05-01T15:45:00+00:00,dh-target,KXBTC15M-26MAY011200-00,2026-05-01T16:00:00Z,78667.28,78648.11,78412.23,0,5,5,0.0,120.0237,120.0237,2026-05-01T16:00:24.734914+00:00,no,0,4.0859,4.0859,net_win,156.1405
2026-05-01T16:00:00+00:00,dh-target,KXBTC15M-26MAY011215-15,2026-05-01T16:15:00Z,78458.78,78577.11,78469.34,1,0,1,98.877,0.0,98.877,2026-05-01T16:15:24.930122+00:00,no,-98.8779,0,-98.8779,net_loss,57.2626
2026-05-01T16:15:00+00:00,dh-target,KXBTC15M-26MAY011230-30,2026-05-01T16:30:00Z,78405.45,78341.35,78278.82,0,3,3,0.0,456.8088,456.8088,2026-05-01T16:30:25.393932+00:00,no,0,484.6892,484.6892,net_win,541.9518
2026-05-01T16:30:00+00:00,dh-target,KXBTC15M-26MAY011245-45,2026-05-01T16:45:00Z,78343.02,78208.82,78270.14,0,1,1,0.0,162.6706,162.6706,2026-05-01T16:45:25.283464+00:00,no,0,47.7737,47.7737,net_win,589.7256
2026-05-01T16:45:00+00:00,dh-target,KXBTC15M-26MAY011300-00,2026-05-01T17:00:00Z,78272.34,78159.53,78256.62,1,1,2,123.1995,142.7106,265.9102,2026-05-01T17:00:24.637356+00:00,no,-123.196,41.9125,-81.2835,net_loss,508.442
2026-05-01T17:00:00+00:00,dh-target,KXBTC15M-26MAY011315-15,2026-05-01T17:15:00Z,78225.0,78259.99,78261.73,0,2,2,0.0,190.186,190.186,2026-05-01T17:15:24.035265+00:00,yes,0,-190.1875,-190.1875,net_loss,318.2545
2026-05-01T17:15:00+00:00,dh-target,KXBTC15M-26MAY011330-30,2026-05-01T17:30:00Z,78284.99,78335.36,78217.15,1,1,2,100.6432,141.2714,241.9146,2026-05-01T17:30:34.480823+00:00,no,-100.6407,80.5257,-20.115,net_loss,298.1396
2026-05-01T17:30:00+00:00,dh-target,KXBTC15M-26MAY011345-45,2026-05-01T17:45:00Z,78203.71,78209.85,78458.96,1,0,1,237.1426,0.0,237.1426,2026-05-01T17:45:24.134551+00:00,yes,81.5698,0,81.5698,net_win,379.7094
2026-05-01T17:45:00+00:00,dh-target,KXBTC15M-26MAY011400-00,2026-05-01T18:00:00Z,78444.4,78418.89,78570.0,1,0,1,144.8485,0.0,144.8485,2026-05-01T18:00:24.120207+00:00,yes,134.7105,0,134.7105,net_win,514.4199
2026-05-01T18:15:00+00:00,dh-target,KXBTC15M-26MAY011430-30,2026-05-01T18:30:00Z,78532.23,78573.27,78559.89,3,0,3,212.642,0.0,212.642,2026-05-01T18:30:25.340869+00:00,yes,149.1076,0,149.1076,net_win,149.1076
2026-05-01T18:30:00+00:00,dh-target,KXBTC15M-26MAY011445-45,2026-05-01T18:45:00Z,78550.9,78535.08,78420.01,0,3,3,0.0,213.9172,213.9172,2026-05-01T18:45:25.512895+00:00,no,0,71.0232,71.0232,net_win,220.1308
2026-05-01T18:45:00+00:00,dh-target,KXBTC15M-26MAY011500-00,2026-05-01T19:00:00Z,78431.64,78449.2,78400.85,2,1,3,163.8499,167.1097,330.9595,2026-05-01T19:00:25.538025+00:00,no,-163.8516,91.2725,-72.5791,net_loss,147.5517
2026-05-01T19:00:00+00:00,dh-target,KXBTC15M-26MAY011515-15,2026-05-01T19:15:00Z,78422.21,78454.2,78476.99,4,0,4,164.2742,0.0,164.2742,2026-05-01T19:15:25.418854+00:00,yes,94.2991,0,94.2991,net_win,241.8508
2026-05-01T19:15:00+00:00,dh-target,KXBTC15M-26MAY011530-30,2026-05-01T19:30:00Z,78502.3,78381.98,78437.46,0,5,5,0.0,146.462,146.462,2026-05-01T19:30:25.284416+00:00,no,0,15.4969,15.4969,net_win,257.3477
2026-05-01T19:30:00+00:00,dh-target,KXBTC15M-26MAY011545-45,2026-05-01T19:45:00Z,78423.8,78358.02,78340.09,0,4,4,0.0,196.0628,196.0628,2026-05-01T19:45:25.361659+00:00,no,0,38.8202,38.8202,net_win,296.1678
2026-05-01T19:45:00+00:00,dh-target,KXBTC15M-26MAY011600-00,2026-05-01T20:00:00Z,78329.1,78414.63,78483.76,3,0,3,212.9333,0.0,212.9333,2026-05-01T20:00:25.908138+00:00,yes,60.7831,0,60.7831,net_win,356.951
2026-05-01T20:00:00+00:00,dh-target,KXBTC15M-26MAY011615-15,2026-05-01T20:15:00Z,78411.55,78364.66,78306.11,0,4,4,0.0,167.9877,167.9877,2026-05-01T20:15:24.726050+00:00,no,0,31.9518,31.9518,net_win,388.9028
2026-05-01T20:15:00+00:00,dh-target,KXBTC15M-26MAY011630-30,2026-05-01T20:30:00Z,78293.82,78203.64,78175.25,0,4,4,0.0,211.5542,211.5542,2026-05-01T20:30:24.819462+00:00,no,0,13.9099,13.9099,net_win,402.8127
2026-05-01T20:30:00+00:00,dh-target,KXBTC15M-26MAY011645-45,2026-05-01T20:45:00Z,78150.05,78144.1,77941.22,0,5,5,0.0,239.209,239.209,2026-05-01T20:45:24.963706+00:00,no,0,75.859,75.859,net_win,478.6717
2026-05-01T20:45:00+00:00,dh-target,KXBTC15M-26MAY011700-00,2026-05-01T21:00:00Z,77986.13,78008.0,77831.64,1,3,4,35.4785,299.713,335.1916,2026-05-01T21:00:25.415178+00:00,no,-35.4756,69.9449,34.4693,net_win,513.141
2026-05-01T21:00:00+00:00,dh-target,KXBTC15M-26MAY011715-15,2026-05-01T21:15:00Z,77873.81,77961.94,77967.64,2,0,2,189.1527,0.0,189.1527,2026-05-01T21:15:36.549759+00:00,yes,41.0416,0,41.0416,net_win,554.1826
2026-05-01T21:15:00+00:00,dh-target,KXBTC15M-26MAY011730-30,2026-05-01T21:30:00Z,77944.16,77971.4,78056.93,4,0,4,158.0666,0.0,158.0666,2026-05-01T21:30:25.615431+00:00,yes,33.4574,0,33.4574,net_win,587.6401
2026-05-01T21:30:00+00:00,dh-target,KXBTC15M-26MAY011745-45,2026-05-01T21:45:00Z,78006.44,78130.26,78115.69,6,0,6,187.8736,0.0,187.8736,2026-05-01T21:45:25.743851+00:00,yes,14.3591,0,14.3591,net_win,601.9992
2026-05-01T21:45:00+00:00,dh-target,KXBTC15M-26MAY011800-00,2026-05-01T22:00:00Z,78098.34,78150.0,78185.61,3,0,3,202.8815,0.0,202.8815,2026-05-01T22:00:24.510047+00:00,yes,47.3452,0,47.3452,net_win,649.3444
2026-05-01T22:00:00+00:00,dh-target,KXBTC15M-26MAY011815-15,2026-05-01T22:15:00Z,78195.36,78242.86,78310.28,7,0,7,165.1388,0.0,165.1388,2026-05-01T22:15:24.433108+00:00,yes,45.4901,0,45.4901,net_win,694.8345
2026-05-01T22:15:00+00:00,dh-target,KXBTC15M-26MAY011830-30,2026-05-01T22:30:00Z,78308.34,78330.0,78395.12,2,0,2,156.8738,0.0,156.8738,2026-05-01T22:30:34.583252+00:00,yes,99.1334,0,99.1334,net_win,793.9679
2026-05-01T22:30:00+00:00,dh-target,KXBTC15M-26MAY011845-45,2026-05-01T22:45:00Z,78339.19,78312.82,78240.28,0,3,3,0.0,165.9303,165.9303,2026-05-01T22:45:34.577423+00:00,no,0,88.0498,88.0498,net_win,882.0178
2026-05-01T22:45:00+00:00,dh-target,KXBTC15M-26MAY011900-00,2026-05-01T23:00:00Z,78240.46,78198.58,78162.31,0,5,5,0.0,134.5075,134.5075,2026-05-01T23:00:24.128664+00:00,no,0,23.3465,23.3465,net_win,905.3642
2026-05-01T23:00:00+00:00,dh-target,KXBTC15M-26MAY011915-15,2026-05-01T23:15:00Z,78145.51,78149.51,78160.48,3,1,4,85.4295,26.8264,112.2559,2026-05-01T23:15:24.137184+00:00,no,-85.4303,8.3165,-77.1138,net_loss,828.2504
2026-05-01T23:15:00+00:00,dh-target,KXBTC15M-26MAY011930-30,2026-05-01T23:30:00Z,78142.33,78090.63,78091.02,0,1,1,0.0,83.758,83.758,2026-05-01T23:30:24.109044+00:00,no,0,31.8165,31.8165,net_win,860.0669
2026-05-01T23:30:00+00:00,dh-target,KXBTC15M-26MAY011945-45,2026-05-01T23:45:00Z,78051.28,78067.99,78133.7,3,0,3,121.8665,0.0,121.8665,2026-05-01T23:45:24.223845+00:00,yes,74.7548,0,74.7548,net_win,934.8217
2026-05-01T23:45:00+00:00,dh-target,KXBTC15M-26MAY012000-00,2026-05-02T00:00:00Z,78120.6,78151.01,78194.96,3,0,3,82.685,0.0,82.685,2026-05-02T00:00:44.876745+00:00,yes,27.2319,0,27.2319,net_win,962.0537
2026-05-02T00:00:00+00:00,dh-target,KXBTC15M-26MAY012015-15,2026-05-02T00:15:00Z,78215.98,78285.16,78209.85,3,1,4,113.7085,71.3163,185.0249,2026-05-02T00:15:34.602038+00:00,no,-113.7118,77.8611,-35.8507,net_loss,926.2029
2026-05-02T00:15:00+00:00,dh-target,KXBTC15M-26MAY012030-30,2026-05-02T00:30:00Z,78203.41,78192.66,78306.72,3,1,4,185.0852,46.1095,231.1947,2026-05-02T00:30:24.135424+00:00,yes,171.7623,-46.1073,125.655,net_win,1051.858
2026-05-02T00:30:00+00:00,dh-target,KXBTC15M-26MAY012045-45,2026-05-02T00:45:00Z,78281.9,78322.84,78310.17,1,1,2,59.6404,65.245,124.8853,2026-05-02T00:45:24.115192+00:00,yes,19.4891,-65.244,-45.7549,net_loss,1006.103
2026-05-02T00:45:00+00:00,dh-target,KXBTC15M-26MAY012100-00,2026-05-02T01:00:00Z,78317.17,78314.48,78324.03,1,1,2,96.3025,47.5125,143.815,2026-05-02T01:00:24.283866+00:00,yes,33.1251,-47.5116,-14.3865,net_loss,991.7166
2026-05-02T01:00:00+00:00,dh-target,KXBTC15M-26MAY012115-15,2026-05-02T01:15:00Z,78317.62,78306.96,78355.88,2,2,4,74.4407,50.5197,124.9604,2026-05-02T01:15:24.669950+00:00,yes,35.9653,-50.5158,-14.5505,net_loss,977.1661
2026-05-02T01:15:00+00:00,dh-target,KXBTC15M-26MAY012130-30,2026-05-02T01:30:00Z,78356.61,78313.66,78337.25,0,3,3,0.0,59.88,59.88,2026-05-02T01:30:24.142460+00:00,no,0,12.8787,12.8787,net_win,990.0448
2026-05-02T01:30:00+00:00,dh-target,KXBTC15M-26MAY012145-45,2026-05-02T01:45:00Z,78343.9,78422.01,78330.0,2,1,3,58.261,71.169,129.43,2026-05-02T01:45:24.126637+00:00,no,-58.2597,61.0943,2.8346,net_win,992.8794
2026-05-02T01:45:00+00:00,dh-target,KXBTC15M-26MAY012200-00,2026-05-02T02:00:00Z,78332.89,78344.76,78300.01,2,1,3,76.5124,48.2363,124.7487,2026-05-02T02:00:34.453008+00:00,no,-76.5098,27.4945,-49.0153,net_loss,943.8641
2026-05-02T02:00:00+00:00,dh-target,KXBTC15M-26MAY012215-15,2026-05-02T02:15:00Z,78314.97,78354.64,78310.17,2,1,3,63.3066,60.8262,124.1328,2026-05-02T02:15:24.230949+00:00,no,-63.3101,42.6733,-20.6368,net_loss,923.2274
2026-05-02T02:15:00+00:00,dh-target,KXBTC15M-26MAY012230-30,2026-05-02T02:30:00Z,78311.84,78323.16,78275.57,1,1,2,48.5009,55.9495,104.4504,2026-05-02T02:30:24.131031+00:00,no,-48.5016,54.1556,5.654,net_win,928.8813
2026-05-02T02:30:00+00:00,dh-target,KXBTC15M-26MAY012245-45,2026-05-02T02:45:00Z,78267.12,78297.93,78388.65,5,0,5,168.3258,0.0,168.3258,2026-05-02T02:45:24.149385+00:00,yes,37.3884,0,37.3884,net_win,966.2697
2026-05-02T02:45:00+00:00,dh-target,KXBTC15M-26MAY012300-00,2026-05-02T03:00:00Z,78377.62,78366.89,78376.58,3,3,6,107.9441,72.3724,180.3165,2026-05-02T03:00:34.532141+00:00,no,-107.9429,102.2473,-5.6957,net_loss,960.5741
2026-05-02T03:00:00+00:00,dh-target,KXBTC15M-26MAY012315-15,2026-05-02T03:15:00Z,78358.79,78351.68,78276.03,1,4,5,67.8151,133.1274,200.9426,2026-05-02T03:15:14.844894+00:00,no,-67.8163,33.8973,-33.919,net_loss,926.6551
2026-05-02T03:15:00+00:00,dh-target,KXBTC15M-26MAY012330-30,2026-05-02T03:30:00Z,78277.2,78282.5,78382.85,4,0,4,150.4265,0.0,150.4265,2026-05-02T03:30:25.672485+00:00,yes,44.2709,0,44.2709,net_win,970.926
2026-05-02T03:30:00+00:00,dh-target,KXBTC15M-26MAY012345-45,2026-05-02T03:45:00Z,78389.01,78396.67,78403.6,3,0,3,127.4336,0.0,127.4336,2026-05-02T03:45:25.278711+00:00,yes,85.4836,0,85.4836,net_win,1056.4097
2026-05-02T03:45:00+00:00,dh-target,KXBTC15M-26MAY020000-00,2026-05-02T04:00:00Z,78396.72,78378.56,78468.04,2,1,3,95.3885,45.5302,140.9188,2026-05-02T04:00:36.561527+00:00,yes,156.3835,-45.5304,110.8531,net_win,1167.2628
2026-05-02T04:00:00+00:00,dh-target,KXBTC15M-26MAY020015-15,2026-05-02T04:15:00Z,78434.29,78405.01,78275.58,0,3,3,0.0,266.8143,266.8143,2026-05-02T04:15:25.693522+00:00,no,0,27.6842,27.6842,net_win,1194.9469
2026-05-02T04:15:00+00:00,dh-target,KXBTC15M-26MAY020030-30,2026-05-02T04:30:00Z,78283.39,78304.24,78263.72,1,2,3,53.7561,89.7422,143.4983,2026-05-02T04:30:26.165962+00:00,no,-53.7549,107.2063,53.4514,net_win,1248.3984
2026-05-02T04:30:00+00:00,dh-target,KXBTC15M-26MAY020045-45,2026-05-02T04:45:00Z,78278.98,78266.06,78237.51,1,3,4,46.3583,58.4674,104.8257,2026-05-02T04:45:14.779727+00:00,no,-46.36,28.4144,-17.9456,net_loss,1230.4528
2026-05-02T04:45:00+00:00,dh-target,KXBTC15M-26MAY020100-00,2026-05-02T05:00:00Z,78224.05,78172.82,78153.48,0,1,1,0.0,83.0155,83.0155,2026-05-02T05:00:25.621601+00:00,no,0,31.5333,31.5333,net_win,1261.9861
2026-05-02T05:00:00+00:00,dh-target,KXBTC15M-26MAY020115-15,2026-05-02T05:15:00Z,78174.98,78144.1,78078.05,1,3,4,58.9833,147.284,206.2673,2026-05-02T05:15:14.780994+00:00,no,-58.985,143.306,84.321,net_win,1346.3071
2026-05-02T05:15:00+00:00,dh-target,KXBTC15M-26MAY020130-30,2026-05-02T05:30:00Z,78085.19,78126.8,78065.04,1,1,2,80.122,138.4973,218.6194,2026-05-02T05:30:14.845957+00:00,yes,35.0662,-138.4964,-103.4302,net_loss,1242.8769
2026-05-02T05:30:00+00:00,dh-target,KXBTC15M-26MAY020145-45,2026-05-02T05:45:00Z,78090.86,78171.77,78196.21,5,0,5,152.6256,0.0,152.6256,2026-05-02T05:45:14.873370+00:00,yes,13.2374,0,13.2374,net_win,1256.1143
2026-05-02T05:45:00+00:00,dh-target,KXBTC15M-26MAY020200-00,2026-05-02T06:00:00Z,78189.11,78209.86,78220.74,2,1,3,35.9046,52.9564,88.861,2026-05-02T06:00:25.724511+00:00,yes,13.1502,-52.9584,-39.8082,net_loss,1216.3061
2026-05-02T06:00:00+00:00,dh-target,KXBTC15M-26MAY020215-15,2026-05-02T06:15:00Z,78205.92,78254.83,78234.07,2,0,2,76.3737,0.0,76.3737,2026-05-02T06:15:14.773161+00:00,yes,16.5538,0,16.5538,net_win,1232.86
2026-05-02T06:15:00+00:00,dh-target,KXBTC15M-26MAY020230-30,2026-05-02T06:30:00Z,78210.57,78218.55,78166.27,1,3,4,41.6963,75.4717,117.168,2026-05-02T06:30:25.614612+00:00,no,-41.6962,44.5082,2.812,net_win,1235.672
